Year,Mo,Dy,Hr,Mn,Tsu,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged
1948,12,26,7,12,1,CHILE,CHILE:  ANTOFAGASTA,-22.5,-69.0,100,7.0,0,0,854,1952.0,5309,75712
1949,4,20,3,29,1,CHILE,"CHILE:  ANGOL, TRAIGUEN",-38.0,-73.5,70,7.3,57,0,854,1952.0,5309,75712
1949,12,17,6,53,1,CHILE,CHILE:  TIERRA DEL FUEGO,-54.0,-71.0,33,7.8,1,0,854,1952.0,5309,75712
1949,12,17,15,7,1,CHILE,CHILE:  TIERRA DEL FUEGO,-54.0,-71.0,33,7.8,3,0,854,1952.0,5309,75712
1950,1,30,0,56,1,CHILE,CHILE:  SOUTHERN,-53.5,-71.5,33,7.0,0,0,854,1952.0,5309,75712
1950,12,9,21,38,0,CHILE,CHILE-ARGENTINA,-23.5,-67.5,100,8.0,1,0,854,1952.0,5309,75712
1953,5,6,17,16,1,CHILE,"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,60,7.6,9,0,26,500.0,5309,75712
1953,12,7,2,5,0,CHILE,CHILE:  NORTHERN,-22.1,-68.7,128,7.4,3,0,854,7.31,5309,75712
1955,4,19,20,24,1,CHILE,CHILE,-30.0,-72.0,30,7.1,0,0,854,1952.0,5309,75712
1956,1,8,20,54,1,CHILE,CHILE,-19.0,-70.0,43,7.1,0,0,854,1952.0,5309,75712
1956,12,18,2,31,1,CHILE,CHILE:  ANTOFAGASTA,-25.5,-71.0,33,7.2,0,0,854,1952.0,5309,75712
1957,7,29,17,15,1,CHILE,CHILE:  ANTOFAGASTA,-23.5,-71.5,33,7.0,0,0,854,1952.0,5309,75712
1958,9,4,21,51,0,CHILE,CHILE-ARGENTINA,-33.785,-70.112,43,6.8,7,0,854,1952.0,5309,75712
1960,5,21,10,2,1,CHILE,CHILE:  CENTRAL,-37.872,-73.243,35,8.2,0,0,854,1952.0,5309,75712
1960,5,22,19,11,1,CHILE,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,33,9.5,2000,0,3000,1000.0,58622,75712
1960,11,1,8,45,1,CHILE,CHILE:  CONCEPCION,-38.5,-75.1,55,7.4,0,0,854,1952.0,5309,75712
1961,10,18,16,51,1,CHILE,"CHILE:  VALDIVIA, CURICO",-36.7,-73.0,15,6.5,0,0,854,1952.0,5309,75712
