year,hour,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,total_deaths,total_damage_millions_dollars
2004,2,10,4.7,,,4.7,,,,,BURUNDI,,BURUNDI:  RUYAGA,-3.393,29.558,3,
2018,15,17,5.8,5.8,,,,,,,COMOROS,,COMOROS:  MAYOTTE,-12.778,45.593,,
1906,15,150,7.9,,7.9,,,,,7,ECUADOR,,ECUADOR,-2,-79,,
1995,1,24,7,7,7,6.5,,,,,ECUADOR,,ECUADOR:  QUITO,-2.75,-77.881,2,
2005,17,35,4.8,,,4.8,,,,6,ECUADOR,,ECUADOR:  BAEZA,-0.507,-77.745,,
2007,3,123,6.8,6.8,,6.3,,,,,ECUADOR,,PERU-ECUADOR:  GUAYAQUIL,-2.312,-77.838,,
2009,18,35,5.4,,,5.4,,,,,ECUADOR,,ECUADOR:  TENA,-0.962,-77.817,,
2010,11,207,7.1,7.1,,6.4,,,,,ECUADOR,,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,,
2011,13,3,4,,,4,4,,,,ECUADOR,,ECUADOR:  POMASQUI,-0.13,-78.37,,
2014,19,12,5.1,5.1,,,,,,5,ECUADOR,,ECUADOR:  QUITO,-0.018,-78.322,2,
2016,16,30,6.9,6.9,,,,,,4,ECUADOR,,ECUADOR:  MANABI PROVINCE,0.495,-79.616,1,
1991,14,14,4.9,,,4.9,,,,5,GEORGIA,,GEORGIA:  KHEKHETI,42.565,43.349,,
2002,5,17,4.8,,,4.8,,,,,GERMANY,,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,,
2003,13,6,4.7,,,,4.7,,,,GERMANY,,GERMANY:  ALBSTADT,48.21,9,,
2004,1,10,4.8,4.8,,4.2,5.5,,,5,GERMANY,,"GERMANY:  EMMENDINGEN, FREIBURG IM BREISGAU",48.115,8.077,,
2006,7,10,4.8,,,4.8,4.6,,,,HUNGARY,,HUNGARY:  BEREGDAROC,48.195,22.46,,
2006,13,5,4.1,,,,4.1,,,,HUNGARY,,HUNGARY:  BUDAPEST,47.449,19.343,,
2008,15,10,6.3,6.3,6.2,6,,,,,ICELAND,,ICELAND: REYKJAVIK,64.004,-21.012,,
2008,10,10,5,,,5,5.3,,,,LEBANON,,LEBANON-SYRIA:  BAALBEC,33.327,35.305,,
2016,4,12,6.3,6.3,,,,,,6,MOROCCO,,MOROCCO:  MELILLA,35.649,-3.682,1,
1990,0,88,6.1,,,6.1,,,,5,ROMANIA,,"ROMANIA:  KISHINEV, CIS",45.811,26.769,,
1991,10,11,5.6,5.6,5.7,5.3,,,,8,ROMANIA,,"ROMANIA:  BANLOC, DETA, TIMISOARA",45.364,21.057,2,
2004,20,96,5.8,5.8,,5.8,,,,,ROMANIA,,"ROMANIA:  BUCHAREST, BRAILA; BULGARIA:  NORTHERN",45.787,26.622,,
1615,,,5.7,,5.7,,,,,8,UKRAINE,,UKRAINE:  BLACK SEA,44.9,35.5,,
1869,11,18,5.6,,5.6,,,,,8,UKRAINE,,"UKRAINE:  CRIMEA:  SUDAK, FEODOSIA",44.75,35,,
1927,6,23,5.7,,5.7,,,,,7,UKRAINE,,UKRAINE:  CRIMEA:  SEBASTOPOL,44.4,34.3,,
1878,,,7.5,,7.5,,,,,,VANUATU,,VANUATU:  TANNA ISLAND,-19,168.5,,
1961,21,35,7.3,7.3,7.3,,,,,,VANUATU,,VANUATU ISLANDS,-18.421,168.411,,
1965,12,33,7.3,,7.3,6.8,,,,,VANUATU,,VANUATU ISLANDS,-15.9,166.8,,
2002,17,21,7.2,7.2,7.5,6.3,,,,,VANUATU,,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,,
2007,17,120,7.2,7.2,,6.2,,,,,VANUATU,,VANUATU ISLANDS:  LUGANVILLE,-15.595,167.68,,
2009,6,13,5.7,5.7,5.5,5.5,,,,,VANUATU,,VANUATU ISLANDS:  TONGOA,-17.026,168.329,,
2009,2,15,6.3,6.3,6.2,5.7,,,,,VANUATU,,VANUATU ISLANDS:  TONGOA,-17.757,167.949,,
2010,13,16,7.3,7.3,7.4,6.8,,,,,VANUATU,,VANUATU ISLANDS,-19.702,167.947,,
2015,13,10,6.4,6.4,,,,,,5,VANUATU,,VANUATU ISLANDS,-16.431,168.148,,
1923,,17,6.1,,,,,,6.1,,VIETNAM,,VIETNAM: THUAN HAI PROVINCE,10.1,109,,
2005,18,10,4.5,,,4.5,,,,,VIETNAM,,VIETNAM:  HO CHI MINH CITY,9.985,108.383,,
1851,10,,5,,5,,,,,,COLOMBIA,,COLOMBIA:  CARTAGENA,10.4,-76.4,,
1883,0,,6,,6,,,,,7,COLOMBIA,,"COLOMBIA:  ANTIOQUIA, YARUMAL",7.4,-76.9,,
1917,11,40,7.3,,7.3,,,,,8,COLOMBIA,,"COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA",4,-74,3,
1970,12,8,6.6,,6.6,,,,,,COLOMBIA,,COLOMBIA:  BAHIA SOLANO,6.2,-77.6,,0.4
1974,1,12,7.3,,7.3,6.4,,,7.3,,COLOMBIA,,"COLOMBIA: BOGOTA, CALI, PEREIRA",7.75,-77.69,11,
2007,13,43,5,,5,5,,,,,COLOMBIA,,"COLOMBIA:  CAUCA, SOTARA, PURACE,",2.082,-76.495,,
2007,1,31,6.8,6.8,6.7,6.1,,,,,COLOMBIA,,"COLOMBIA:  NARINO, EL CHARCO, ISCUANDE, LA TOLA",2.982,-77.967,,
2008,19,9,5.6,5.6,,,,,,,COLOMBIA,,"COLOMBIA:  META, QUETAME",4.33,-73.764,6,
2018,9,10,4.9,4.9,,,,,,,COLOMBIA,,COLOMBIA:  PASTO,1.032,-77.259,2,
2019,12,10,5.6,5.6,,,,,,,COLOMBIA,,"COLOMBIA:  CAUCA, HUILA",3.035,-75.738,1,
2021,22,10,5.1,5.1,,,,,,9,COLOMBIA,,"COLOMBIA: MEDELLIN, BETULIA",6.239,-76.098,2,
1906,13,,6.5,6.5,,,,,6.8,,ETHIOPIA,,ETHIOPIA:  LANGANO,7.091,38.065,,
1969,9,35,6.2,6.2,6.2,6,,,,9,ETHIOPIA,,ETHIOPIA:  SARDO,11.875,41.208,40,0.32
1764,,,6.5,6.5,,,,,,8,HONDURAS,,HONDURAS: TRUJILLO,15.91,-85.96,,
2013,19,4,5.4,5.4,,5.4,,,,,HONDURAS,,HONDURAS: ATLANTIDA,15.52,-87.159,,
2018,2,19,7.5,7.5,,,,,,8,HONDURAS,,HONDURAS,17.483,-83.52,,
1991,10,33,4.5,,4.5,5.1,,,,,MALAYSIA,,MALAYSIA:  KALIMANTAN:  RANAU,5.865,116.746,1,
2015,23,10,6,6,,,,,,6,MALAYSIA,,"MALAYSIA:  SABAH:  LAHAD,DATU,KANAK",5.987,116.541,18,
1986,19,43,4.5,,4.5,5.2,,,,,PAKISTAN,,PAKISTAN:  KHUZDAR,27.727,66.65,,
1990,4,15,6.3,,6.3,5.9,,,,,PAKISTAN,,PAKISTAN:  BALUCHISTAN,27.398,65.719,,
1997,19,50,4.9,,,4.9,,,,,PAKISTAN,,"PAKISTAN:  BAJAUR, CHITRAL",34.872,71.62,15,
2004,20,10,4.5,,,4.5,,,,,PAKISTAN,,PAKISTAN:  QUETTA,30.126,67.121,1,
2005,11,52,4.9,,,4.9,,,,,PAKISTAN,,PAKISTAN:  QUETTA,30.378,68.038,,
2006,9,10,4.8,,,4.8,,,,,PAKISTAN,,PAKISTAN:  BATGRAM,34.6,73.136,,
2009,3,10,5.4,5.4,,5.5,,,,,PAKISTAN,,PAKISTAN; INDIA:  KASHMIR,34.204,73.899,,
2010,21,33,5.2,,,5.2,,,,,PAKISTAN,,"PAKISTAN:  KHANPUR, HARIPUR",33.869,72.887,1,
2010,9,27,4.7,,,4.7,,,,,PAKISTAN,,PAKISTAN:  QUETTA,30.178,67.117,,
2014,22,15,4.5,4.5,,,,,,,PAKISTAN,,PAKISTAN:  NAWABSHAH,26.387,68.358,2,
2015,21,30,5.4,,,5.4,,,,4,PAKISTAN,,PAKISTAN:  BATTAGRAM,34.671,73.278,,
2015,20,17,5.1,5.1,,,,,,5,PAKISTAN,,PAKISTAN:  ABBOTTABAD,33.856,73.193,3,
2016,8,10,5.4,,,5.4,,,,2,PAKISTAN,,"PAKISTAN:  MANSEHRA, NARAN",34.905,73.682,1,
2017,22,29,6.3,6.3,,,,,,,PAKISTAN,,PAKISTAN:  PASNI,25.191,63.264,,
2004,7,5,2.2,,,,2.2,,,,SLOVAKIA,,SLOVAKIA:  SLOVENSKO L'UPCA,48.758,19.217,,
2004,13,8,5.2,5.2,4.9,5,5.7,,,,SLOVENIA,,"SLOVENIA: BOVEC, KOBARID",46.296,13.641,1,
2000,2,34,6.5,6.5,6.7,6.1,,,,,TANZANIA,,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,,
2019,9,22,5.5,5.5,,,,,,,TANZANIA,,"TANZANIA:  SONGWE, MBEYA",-7.878,32.085,1,
2006,17,10,4.6,,,4.6,,,,,THAILAND,,THAILAND:  MAE RIM,18.901,98.916,,
1974,16,18,5.9,,5.9,5.5,,,,,ARGENTINA,,ARGENTINA:  LOS TOLDOS,-22.124,-64.638,,
2004,11,22,6.1,6.1,6.1,6.1,,,,,ARGENTINA,,ARGENTINA: CATAMARCA,-28.573,-65.84,1,
2006,14,22,5.6,5.6,5.2,5.7,,,,5,ARGENTINA,,ARGENTINA:  MENDOZA,-33.131,-68.707,,
2008,10,10,4.1,,,4.1,4.8,,,,ARGENTINA,,ARGENTINA:  POTRERILLOS,-32.938,-69.259,,
2015,11,33,5.8,5.8,,,,,,7,ARGENTINA,,ARGENTINA:  GALPON,-25.442,-64.632,2,
2009,8,0,3.1,,,,3.1,,,,AUSTRALIA,,AUSTRALIA:  MORNINGTON,-38.28,145.25,,
2010,0,0,5.2,,,5.2,5,,,,AUSTRALIA,,AUSTRALIA:  KALGOORLIE,-30.794,121.406,,
2014,0,1,4.5,4.5,,,,,,,AUSTRALIA,,AUSTRALIA:  KALGOORLIE,-30.686,121.332,,
1902,23,,6.3,,6.3,,,,,,GUATEMALA,,"GUATEMALA:  SAN MARTIN, QUEZALTENANGO",14.71,-91.59,,
1980,7,105,5.3,,,5.3,,,,,GUATEMALA,,GUATEMALA:  S COAST,14.716,-91.317,,
1998,8,33,6.6,6.6,6.2,6.1,,,,,GUATEMALA,,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,,
2007,19,23,6.7,6.7,6.5,5.9,,,,,GUATEMALA,,GUATEMALA:  GUATEMALA CITY,13.554,-90.618,,
2008,1,66,5.6,5.6,,5.4,,,,,GUATEMALA,,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,,
2008,3,33,6.1,6.1,5.8,5.6,,,,,GUATEMALA,,GUATEMALA,13.564,-90.599,,
2011,18,9,5.6,5.6,5.3,5.1,,,,,GUATEMALA,,GUATEMALA:  CUILAPA SANTA ROSA,14.186,-90.238,1,
2013,0,66,6.4,6.4,,,,,,7,GUATEMALA,,"GUATEMALA:  COATEPEQUE, QUETZALTENANGO",14.606,-92.121,1,
1711,,,7,,7,,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4,129,2,
1818,,,7,,7,,,,,9,INDONESIA,,INDONESIA:  SUMATRA:  BENGKULU,-4,101.5,,
1836,,,7.5,,7.5,,,,,,INDONESIA,,FLORES SEA,-8.3,118.7,,
1852,,150,6.5,,6.5,,,,,8,INDONESIA,,INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,,
1852,,,7,,7,,,,,,INDONESIA,,INDONESIA:  BANDANEIRA,-5,130.5,,
1861,,,6.5,,6.5,,,,,,INDONESIA,,INDONESIA:  SW. SUMATRA,-1.5,100,,
1876,,50,6.8,,6.8,,,,,7,INDONESIA,,"INDONESIA:  BURU ISLAND, CERAM SEA",-3,127.25,,
1885,,,7.3,,7.3,,,,,,INDONESIA,,"INDONESIA:  BURU I, AMBON I, HARUKU I",-2.5,127.5,,
1896,,130,6.8,,6.8,,,,,,INDONESIA,,"INDONESIA:  SW. SUMATRA, JAVA",-3.5,102.5,,
1900,21,33,6.9,,6.9,,,,,,INDONESIA,,INDONESIA:  NW. IRIAN JAYA,-4,140,5,
1908,12,,6.6,,6.6,,,,,,INDONESIA,,INDONESIA:  TIMOR,-10,129,,
1910,2,,6.7,,6.7,,,,,8,INDONESIA,,INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS,4,127,,
1914,19,35,7.6,7.6,7.6,7.6,,,,,INDONESIA,,INDONESIA:  SUMATERA,-3.924,101.82,20,
1921,4,,7.5,,7.5,,,,,,INDONESIA,,INDONESIA:  S OF JAVA,-11,111,,
1931,5,,7.4,,7.4,,,,,8,INDONESIA,,SW. SUMATRA,-5,102.75,,
1950,12,,6.5,,6.5,,,,,7,INDONESIA,,INDONESIA:  JAVA:  GRESIK,-6,113,16,
1954,8,,6.8,,6.8,,,,,8,INDONESIA,,"INDONESIA:  SUMABAWA:  BIMA,RABA",-8,119,,
1963,1,100,8.3,,8.3,7.8,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-6.86,129.58,,
1963,1,64,6.6,,6.6,,,,,,INDONESIA,,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",-6.4,105.4,,
1968,2,25,7.6,,7.6,,,,,,INDONESIA,,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",1.4,126.2,,
1976,2,33,7.1,,7.1,6.1,,,,8,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,-4.517,139.918,133,
1983,1,17,6.5,,6.5,6,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4.056,127.924,,
1984,15,33,6.6,,6.6,6,,,,7,INDONESIA,,INDONESIA:  SULAWESI:  W,-2.823,118.806,2,0.5
1985,9,10,7.1,,7.1,6,,,,8,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911,,
1995,23,33,6.9,6.9,7.1,6.2,,,,,INDONESIA,,INDONESIA:  IRIAN JAYA REGION,-4.183,135.109,,
1995,11,13,6.9,6.9,6.9,6.2,6.9,,,7,INDONESIA,,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,11,
1998,13,152,6.6,6.6,,6.4,,,,,INDONESIA,,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,1,
2002,15,10,6.4,6.4,6.4,5.9,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,,
2003,2,33,6.5,6.5,6.1,6.2,,,,,INDONESIA,,INDONESIA:  FLORES:  REO,-8.294,120.743,4,
2003,19,31,7,7,7.1,6.5,,,,,INDONESIA,,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,1,
2003,23,33,4.9,,4.9,5.4,,,,,INDONESIA,,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,,
2004,2,10,7.3,7.3,7.5,6.2,,,,,INDONESIA,,INDONESIA:  NABIRE,-4.003,135.023,,
2004,6,42,6,6,5.7,6.3,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,,
2004,1,66,5.4,5.4,,5.5,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,,
2004,18,96,5.5,5.5,,5.5,,,,,INDONESIA,,INDONESIA:  BALI,-8.669,114.65,,
2004,1,66,6.7,6.7,,6.5,,,,,INDONESIA,,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,,
2005,1,21,6.7,6.7,6.8,6.2,,,,,INDONESIA,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.819,97.082,,
2005,23,32,5.9,5.9,5.5,5.6,,,,,INDONESIA,,INDONESIA:  SULAWESI:  DONGGALA,-1.174,119.963,,
2005,2,10,5.3,5.3,5.2,5.7,,,,,INDONESIA,,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-9.948,124.48,,
2006,8,30,5,,,5,,,,,INDONESIA,,INDONESIA:  N. SUMATRA: TAPAKTUAN,3.462,97.224,,
2006,8,17,5.5,5.5,4.9,5.4,,,,,INDONESIA,,INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395,,
2006,6,31,5.2,,,5.2,,,,,INDONESIA,,INDONESIA:  SULAWESI: PINRANG,-3.728,119.233,,
2006,14,43,6.3,6.3,6,5.9,,,,,INDONESIA,,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777,1,
2007,11,22,7.5,7.5,7.3,6.7,,,,,INDONESIA,,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282,4,
2007,9,24,6.1,6.1,5.8,6,,,,,INDONESIA,,INDONESIA: LABUHA,-1.065,127.343,,
2007,5,25,6.9,6.9,6.8,6.4,,,,,INDONESIA,,INDONESIA:  MALUKU:  N,2.872,127.464,,
2007,18,35,4.8,,,4.8,,,,,INDONESIA,,INDONESIA:  SITUBONDO,-7.783,114.338,,
2008,3,12,5.9,5.9,5.6,6,,,,,INDONESIA,,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,,
2008,17,20,6.1,6.1,,5.9,,,,,INDONESIA,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,1,
2008,8,25,6.5,6.5,6.6,6.4,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972,,
2009,23,79,5.7,5.7,,6,,,,,INDONESIA,,INDONESIA:  BALI:  DENPASAR,-9.138,115.593,,
2010,5,38,7.2,7.2,7.3,6.6,,,,,INDONESIA,,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,,
2011,17,91,6.7,6.7,,6.6,,,,,INDONESIA,,INDONESIA:  SUMATRA,2.965,97.893,10,
2012,8,20,8.6,8.6,8.5,7.4,,,,,INDONESIA,,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,10,
2012,11,50,5.8,5.8,5.2,5.9,,,,,INDONESIA,,INDONESIA:  JAVA,-7.692,106.371,,
2012,0,22,6.5,6.5,6.5,5.9,,,,,INDONESIA,,INDONESIA: BANDA ACEH,2.707,96.045,1,
2013,22,12,6.1,6.1,6,5.8,,,,,INDONESIA,,INDONESIA:  SUMATERA:  N,4.927,95.907,1,
2013,2,60,5.7,5.7,,5.5,,,,,INDONESIA,,INDONESIA:  JAVA,-8.803,113.002,,
2013,5,10,5.5,5.5,,,,,,5,INDONESIA,,INDONESIA:  BANDA ACEH,5.103,95.971,1,
2014,5,66,6.1,6.1,,,,,,5,INDONESIA,,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265,,
2015,21,48,7,7,,,,,,5,INDONESIA,,INDONESIA:  PAPUA,-2.629,138.528,1,
2016,23,4,5.6,5.6,,,,,,3,INDONESIA,,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,1,
2016,19,31,6.3,6.3,,,,,,4,INDONESIA,,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,,
2017,11,6,6.1,6.1,,,,,,5,INDONESIA,,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,1,
2018,7,10,5.2,5.2,,,,,,,INDONESIA,,INDONESIA: SUMATRA: SOLOK,-0.965,100.771,1,
2018,18,9,6,6,,,,,,5,INDONESIA,,"INDONESIA:  MADURA ISLAND, JAVA",-7.456,114.453,4,
2019,10,50,5,,,5,,,,,INDONESIA,,INDONESIA:  MALUKU:  AMBON,-3.61,128.299,2,
2019,16,33,7.1,7.1,,,,,,,INDONESIA,,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416,1,
2021,4,10,5.8,5.8,,,,,,6,INDONESIA,,INDONESIA: MALUKU,-3.593,129.503,,
2021,2,8,5.5,5.5,,,,,,5,INDONESIA,,INDONESIA: CENTRAL SULAWESI: TOJO UNA-UNA,-0.854,121.523,1,
1983,18,24,4.7,,,4.7,,,,7,MACEDONIA,,BALKANS NW:  MACEDONIA:  SKOPJE,41.959,21.54,12,0.5
1901,2,,7,,7,,,,,,NICARAGUA,,NICARAGUA,11,-86.5,,
1963,15,50,5.5,,5.5,,,,,,NICARAGUA,,NICARAGUA:  LEON,12.2,-86.9,,
1985,2,22,6,,6,5.9,,,,6,NICARAGUA,,"NICARAGUA:  RIVAS,  MASAYA",11.725,-85.838,,
2004,8,87,5.6,5.6,,5.1,,,,,NICARAGUA,,"NICARAGUA:  CHINANDEGA, LEON",11.989,-86.52,,
2014,5,10,5.2,5.2,,,,,,,NICARAGUA,,"NICARAGUA:  MANAGUA, CIUDAD SANDINO",12.151,-86.281,,
1950,22,15,6.4,6.4,,,,,6.8,,VENEZUELA,,VENEZUELA: EL TOCUYO,9.71,-69.819,100,
1986,17,7,4.9,,4.9,5.9,,,,,VENEZUELA,,"VENEZUELA:  CHURUGUARA,  FALCON, LARA",10.77,-69.428,1,
2008,7,13,5.2,5.2,4.5,5.1,,,,,VENEZUELA,,VENEZUELA:  CARIACO-CUMANA,10.514,-64.171,,
2009,20,10,6.3,6.3,6.4,6.3,,,,,VENEZUELA,,VENEZUELA:  CARABOBO,10.705,-67.92,,
2009,8,7,5.4,5.4,5,5.4,,,,,VENEZUELA,,VENEZUELA:  SIQUISIQUE,10.434,-69.715,,
2010,18,8,5.5,5.5,5.2,5.4,,,,,VENEZUELA,,VENEZUELA:  CARIACO,10.454,-63.475,,
2015,6,14,5.3,5.3,,,,,,,VENEZUELA,,VENEZUELA:  MERIDA,8.477,-71.365,1,
2015,20,5,5.1,5.1,,,,,,4,VENEZUELA,,VENEZUELA:  MERIDA,8.48,-71.42,1,
2003,4,10,7.6,7.6,7.5,6.2,,,,,ANTARCTICA,,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS,-60.532,-43.411,,
2000,18,50,6.8,6.8,,5.8,,,,,AZERBAIJAN,,AZERBAIJAN:  BAKU,40.245,49.946,31,
2018,18,24,5.3,5.3,,,,,,,AZERBAIJAN,,AZERBAIJAN: SHAKI-ZAQATALA,41.526,46.785,1,
1842,,,6,,6,,,,,,BANGLADESH,,BANGLADESH:,24,89.25,,
2001,7,10,4.5,,,4.5,,,,6,BANGLADESH,,BANGLADESH:  DHAKA,23.632,90.376,,
2002,5,40,4.5,,,4.5,,,,,BANGLADESH,,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,,
2007,7,29,5.1,,5.1,5.1,,,,,BANGLADESH,,"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI",22.15,92.388,,
2008,22,34,5,,,5,,,,,BANGLADESH,,"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH",22.761,92.333,,
2010,17,10,4.8,,,4.8,,,,5,BANGLADESH,,BANGLADESH:  NARAYANGANJ,23.407,90.648,,
1905,18,,6.8,,6.8,,,,,,COSTA RICA,,COSTA RICA:  PUNTARENAS,9.85,-84.68,,
1950,16,60,7.7,,7.7,,,,,,COSTA RICA,,COSTA RICA-NICARAGUA,11,-85,,
1973,8,33,6.5,,6.5,5.7,,,,,COSTA RICA,,"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO",10.679,-84.759,26,0.2
1990,0,10,4.6,,4.6,4.7,,,,,COSTA RICA,,COSTA RICA:  SANTIAGO DE PURISCAL,9.855,-84.327,,
1991,9,5,4.7,,4.7,4.7,,,,,COSTA RICA,,COSTA RICA:  CARTAGO,9.737,-84.054,,
1993,20,20,5.8,5.8,5.6,5.3,,,,,COSTA RICA,,"COSTA RICA:  TURRIALBA, CARTAGO",9.821,-83.622,2,
2008,15,13,5.6,5.6,5.2,5.3,,,,,COSTA RICA,,PANAMA-COSTA RICA,8.423,-82.968,,
2012,14,35,7.6,7.6,7.7,6.8,,,,,COSTA RICA,,COSTA RICA:  NICOYA,10.085,-85.315,2,
1985,14,13,6.4,6.4,6.3,6.3,,,,6,GUADELOUPE,,GUADELOUPE,17.013,-62.448,,
1990,21,33,4.5,,4.5,5,,,,6,KAZAKHSTAN,,KAZAKHSTAN:  ZAYSAN,47.903,84.961,,
2009,17,15,5.4,5.4,5.1,5.8,,,,,KAZAKHSTAN,,KAZAKHSTAN:  TEKELI,44.724,78.864,1,
2002,11,32,5.5,5.5,5.2,5.3,,,,,KYRGYZSTAN,,KYRGYZSTAN,39.77,72.007,,
2017,22,7,5.5,5.5,,,,,,,MADAGASCAR,,MADAGASCAR: ANTSIRABE,-20.16,46.647,2,
2007,19,156,7.4,7.4,,6.9,,,,,MARTINIQUE,,MARTINIQUE,14.944,-61.274,1,
2017,2,27,5.6,5.6,,,,,,,MOZAMBIQUE,,MOZAMBIQUE,-19.45,34.488,,
1980,11,33,5.2,,,5.2,,,,6,TAJIKISTAN,,"TAJIKISTAN:  SHURAB, NEFTEABAD",40.113,70.596,,
1990,14,33,6.3,,6.3,6,,,,6,TAJIKISTAN,,TAJIKISTAN:  PAMIR MOUNTAINS,37.034,72.942,,
2002,20,44,4.9,,,4.9,,,,,TAJIKISTAN,,TAJIKISTAN:  ROGHUN,38.773,69.924,,
2006,11,10,4.7,,,4.7,,,,,TAJIKISTAN,,TAJIKISTAN:  DUSHANBE (STALINABAD),38.246,69.22,,
2016,14,10,5,5,,,,,,,TAJIKISTAN,,TAJIKISTAN:  RASHT,38.881,70.559,,
2021,2,16,5.8,5.8,,,,,,8,TAJIKISTAN,,TAJIKISTAN: RASHT; TOJIKOBOD,38.959,70.572,5,
2011,19,20,6.1,6.1,6.2,6.1,,,,,UZBEKISTAN,,"UZBEKISTAN:  FARGONA, VIOLYATI",40.081,71.41,14,
1990,4,114,6,,,6,,,,4,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND",35.121,70.486,11,
1991,17,33,4.1,,,4.1,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  BADAKHSTAN, KABUL",36.416,70.912,,
2002,19,91,5.5,5.5,,5.3,,,,,AFGHANISTAN,,AFGHANISTAN:  JALALABAD,35.704,69.868,,
2005,21,225,6.5,6.5,,6,,,,,AFGHANISTAN,,"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",36.357,71.093,5,
2008,3,158,5.8,5.8,,5.9,,,,,AFGHANISTAN,,"AFGHANISTAN; PAKISTAN:  MANSEHRA, SHANGLA",36.401,71.075,,
2009,19,18,6.1,6.1,,6.1,,,,,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH,36.517,70.95,5,
2015,19,206,6.3,6.3,,,,,,5,AFGHANISTAN,,AFGHANISTAN; PAKISTAN,36.494,71.126,4,
2016,10,212,6.6,6.6,,,,,,5,AFGHANISTAN,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,6,
2018,10,112,6.2,6.2,,,,,,,AFGHANISTAN,,AFGHANISTAN: TAKHAR;  PAKISTAN,36.99,71.369,,
2018,14,22,4.9,4.9,,,,,,,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH:  BAGHLAN,35.817,68.682,,
1859,,,6.2,,6.2,,,,,,EL SALVADOR,,EL SALVADOR:  LA UNION; HONDURAS,13.33,-87.81,,
2011,21,43,5.1,,,5.1,,,,,EL SALVADOR,,EL SALVADOR-GUATEMALA,13.297,-87.898,,
2014,3,40,7.3,7.3,,,,,,7,EL SALVADOR,,EL SALVADOR:  GULF OF FONSECA,12.526,-88.123,1,
